legal_name,dba_name,primary_sector,all_sectors,operational_states,founded_year,employee_count,estimated_revenue,contact_person,job_title,email,phone,address,city,state,zip_code
Garcia and Sons,Garcia and Sons,Manufacturing,"Manufacturing, Energy, Hospitality","VA, CO, ME, HI",1986,28,"$579,662",Alicia Estes,Advertising copywriter,aestes@maddox.net,(650) 685-8507,12689 Alexis Ways Apt. 874,New Maryhaven,GA,32053
"Morrison, Hahn and Randall","Morrison, Hahn and Randall",Manufacturing,"Manufacturing, Entertainment, Real Estate",MD,1991,637,"$2,155,541",Debra Pitts,Chief Marketing Officer,dpitts@harvey.com,(325) 815-3076,90076 Jonathan Curve,Ortegaville,MT,01610
Webb-Carpenter,Webb-Carpenter,Manufacturing,"Manufacturing, Transportation, Construction",NY,2017,87,"$1,918,244",Gabriel Bruce,Higher education lecturer,gbruce@sullivan-calderon.com,(891) 314-7112,185 Zachary Land Apt. 308,Jameston,MD,02180
Green Inc,LLC Burton-Smith,Manufacturing,"Manufacturing, Entertainment, Transportation","TX, VA, AK, WA",2000,17,"$9,840,159",William Anderson,"Geneticist, molecular",wanderson@quinn-flores.com,(490) 528-2611,501 Salazar Vista,Port Jessica,OR,01050
Kane LLC,PLC Henry Ltd,Manufacturing,Manufacturing,"MA, LA",1997,345,"$259,365",Patrick Rodriguez,Oceanographer,prodriguez@miller-reed.com,(780) 727-5568,1345 Sullivan Common Suite 583,New Elizabeth,MO,11930
Munoz-Wright,Munoz-Wright,Manufacturing,"Manufacturing, Telecommunications","NC, OR, SD, MD, CT",2010,5,"$220,064",Sabrina Boyd,"Nurse, children's",sboyd@watson-wood.com,(253) 697-1270,007 Holly Meadow,North Victoria,PA,43399
Todd Group,Todd Group,Manufacturing,"Manufacturing, Construction, Real Estate","NC, GA, WA, CT",2022,58,"$343,852",Peggy Duncan,Planning and development surveyor,pduncan@jacobs.com,(336) 274-2026,340 Joseph Parks,Vanessafurt,IN,54824
Bell Group,"and Sons Thornton, Robinson and Chapman",Manufacturing,Manufacturing,UT,2016,6,"$1,616,791",Stacey Lewis,Passenger transport manager,slewis@garner.net,(907) 232-7847,28854 Cunningham Road,North Kathryn,SD,23767
Horton Group,Horton Group,Manufacturing,Manufacturing,"NY, SD, WY, LA",2019,14,"$61,099",Ariel Hernandez,Theatre manager,ahernandez@richardson.biz,(766) 838-6363,137 Reed Knolls Apt. 080,West Zachary,AK,08193
Ramos-Boone,Group Owens-Ruiz,Manufacturing,Manufacturing,"OK, WY, NJ, NE",1993,29,"$28,011",Travis Bishop,Patent attorney,tbishop@mejia.com,(296) 806-1066,784 Sara Islands,New Angelahaven,AR,38103
"Crosby, Durham and Ford","Crosby, Durham and Ford",Manufacturing,Manufacturing,"CA, NC, MD, MT, NY",2005,8669,"$909,760",Mr. Daniel Levine,Research scientist (life sciences),mlevine@smith-zuniga.com,(786) 407-5020,5763 Marissa Groves Apt. 161,Toddland,WY,52259
Hernandez LLC,Hernandez LLC,Manufacturing,"Manufacturing, Transportation, Telecommunications",NV,1995,738,"$1,901,180",Willie Stanley,"Surveyor, commercial/residential",wstanley@graham.biz,(819) 331-4551,7444 Daniel Mission,Jacksonport,NY,23862
"Fletcher, Wood and Peck","Fletcher, Wood and Peck",Manufacturing,"Manufacturing, Telecommunications","FL, VT",1988,4,"$1,831,746",Robert Stokes,"Surveyor, mining",rstokes@brown.com,(695) 845-9908,4316 Jessica Avenue,South Lauren,NC,83688
Hernandez and Sons,LLC Smith Group,Manufacturing,"Manufacturing, Technology, Pharmaceuticals",SD,1985,11,"$63,576",Kristine Griffin,Geographical information systems officer,kgriffin@parks.info,(925) 220-1920,07081 Christine Throughway,North Walter,AL,76896
Pugh-Day,Ltd Rice-Wallace,Manufacturing,"Manufacturing, Entertainment, Energy","MD, TN",1989,638,"$59,961",Brian Faulkner,Dance movement psychotherapist,bfaulkner@perry.com,(978) 815-8028,80642 Hernandez Hill Suite 979,Lake Tinahaven,OK,87089
Perez-Serrano,Perez-Serrano,Manufacturing,Manufacturing,CA,2000,36,"$97,701",Austin Ingram,Futures trader,aingram@ponce-greene.com,(493) 784-1164,871 Melissa Stravenue,East Josephfort,MO,33924
Le-Beard,Le-Beard,Manufacturing,"Manufacturing, Construction, Technology","AR, TN",1985,1,"$7,933,144",Edward Martin,Biomedical engineer,emartin@howe.net,(320) 846-6743,173 Cook Garden Suite 220,Piercehaven,WI,27845
Guzman-Stein,Ltd Shelton-White,Manufacturing,"Manufacturing, Real Estate","OR, ND, FL",1986,160,"$198,015",Mike Johnson,Therapeutic radiographer,mjohnson@barrett-acosta.com,(780) 928-4388,66846 Walsh Lodge Suite 220,South Darryl,IN,74645
Jackson-Novak,Jackson-Novak,Manufacturing,"Manufacturing, Finance, Construction",ID,1980,14,"$1,717,506",Joan Simmons,"Conservation officer, nature",jsimmons@lopez.org,(808) 390-8509,562 Lisa Harbors Apt. 493,Dorseyport,NM,95006
"Weber, Burns and Phillips","Weber, Burns and Phillips",Manufacturing,"Manufacturing, Energy",CT,2008,5852,"$1,534,496",Edwin Holmes,Insurance broker,eholmes@henry.info,(476) 301-4230,9276 Mary Villages,Lake David,ID,18643
Smith-Casey,Smith-Casey,Manufacturing,"Manufacturing, Construction, Agriculture","AK, IA, ND, ID",2001,81,"$74,811",Angela Rodriguez,Chartered certified accountant,arodriguez@hardy-sanchez.com,(286) 620-1898,479 Justin Orchard,Port Lukeside,OH,10037
"White, Hanson and Mccarty","and Sons Welch, Knight and Carroll",Manufacturing,"Manufacturing, Technology, Construction","MD, ND, GA, KS, SC",2023,780,"$155,516",Rhonda Hicks,Health service manager,rhicks@hicks-williams.com,(495) 703-8167,958 Dana Landing,South Jonathan,FL,85572
Mueller Inc,Mueller Inc,Manufacturing,"Manufacturing, Technology","PA, UT",2017,30,"$72,464,695",Brett Mcdonald,Chartered loss adjuster,bmcdonald@sexton.com,(479) 838-3512,3481 Colleen Shore,Joneschester,TN,16939
Rivers LLC,LLC Buck-Gordon,Manufacturing,Manufacturing,"ND, WI, MA, OH, DE",1994,1,"$1,064,900",Samantha Hayes,Systems analyst,shayes@nichols.net,(278) 525-2710,0175 Martin Junctions Suite 502,Arianafurt,IL,95542
Lopez and Sons,Ltd Powell-Castillo,Manufacturing,Manufacturing,"WY, AR, MS, TN, MN",2000,5427,"$50,990",William Singleton,Government social research officer,wsingleton@bell-jones.biz,(786) 448-4237,441 Foster Well Suite 689,Aaronfort,KS,51875
Mitchell Inc,Mitchell Inc,Manufacturing,"Manufacturing, Healthcare","MI, FL, UT, NE",1991,237,"$9,651,696",Hannah Rivera,Records manager,hrivera@vaughn.com,(970) 227-5458,44268 Daniel Cove Apt. 529,North Tony,AK,19642
"Tate, Parker and Humphrey","Tate, Parker and Humphrey",Manufacturing,"Manufacturing, Telecommunications, Construction","AZ, MS, MO, TX",2000,985,"$411,695",Wanda Simpson,"Scientist, research (maths)",wsimpson@howard-terrell.com,(340) 403-3600,731 Lindsey Street,West Sherri,WI,40167
Howard-Martinez,and Sons Nixon-Zuniga,Manufacturing,"Manufacturing, Finance",NE,1982,532,"$205,167",Becky Solis,Translator,bsolis@decker.com,(251) 851-8115,25915 Benjamin Ford,Petersonside,PA,23206
Fields LLC,Fields LLC,Manufacturing,"Manufacturing, Healthcare, Retail","CO, AK",2022,105,"$364,009",Joseph Cohen,Higher education careers adviser,jcohen@jordan.com,(207) 517-9556,30560 Brown Bypass Suite 769,New Morgan,SD,60094
Johnson-Davis,Johnson-Davis,Manufacturing,"Manufacturing, Energy","GA, SD, MI",1995,159,"$159,764",Dr. Margaret Cox,Astronomer,dcox@wright.com,(297) 544-3065,442 Ariel Groves Suite 221,Port Shannon,WV,39106
"Vargas, Williams and Anderson",PLC Morris Inc,Manufacturing,"Manufacturing, Hospitality",DE,2015,10,"$340,326",Patricia Rodriguez,"Presenter, broadcasting",prodriguez@coleman.info,(736) 361-7694,551 Bennett Summit Suite 180,Martineztown,WA,86681
Stewart-Bowman,Stewart-Bowman,Manufacturing,Manufacturing,"WY, NJ, NV",2016,153,"$243,383,537",Marcus Rosales,"Scientist, biomedical",mrosales@rodriguez.com,(411) 943-4727,9599 Flowers Points Suite 071,Lake Kristinmouth,NJ,31115
"Wright, Davis and Green","Wright, Davis and Green",Manufacturing,Manufacturing,SD,1996,41,"$1,217,504",Julie Cruz,Pensions consultant,jcruz@shaw.com,(801) 816-9222,22927 Joseph Street,Port Danielstad,TN,65926
"Morrison, Benson and Meyer","Morrison, Benson and Meyer",Manufacturing,"Manufacturing, Technology, Agriculture","NC, FL, MD",2010,866,"$723,845",Cynthia Anderson,Cytogeneticist,canderson@herrera.com,(380) 646-5026,1396 Herrera Creek Suite 222,Sotoport,MA,12888
Werner Ltd,"Inc Griffin, Stephens and Hudson",Manufacturing,"Manufacturing, Agriculture, Real Estate",DE,2014,10,"$86,134",Terry Torres,"Designer, jewellery",ttorres@smith.com,(533) 771-8965,700 Cheryl Estates Apt. 225,East Timothy,SC,93662
Williams-Trujillo,Williams-Trujillo,Manufacturing,"Manufacturing, Entertainment, Energy","OK, VT, MT, MO",2019,2,"$878,629",Lawrence Murray,Photographer,lmurray@lopez.net,(459) 753-5570,40289 Shawn Neck Suite 759,Davidhaven,OH,57602
James Inc,James Inc,Manufacturing,"Manufacturing, Transportation, Pharmaceuticals","OK, VA, GA",1990,1028,"$7,995,058",Todd Davis,Associate Professor,tdavis@alvarez.biz,(581) 651-3992,011 Calvin Wall Suite 757,Port John,OR,85611
"Watkins, Johnson and Heath","Watkins, Johnson and Heath",Manufacturing,Manufacturing,"MN, VT, RI, VA",2004,5,"$8,239,940",Brandon Cruz,Podiatrist,bcruz@johnson.net,(681) 913-5375,6872 Lopez Trace,New Christopherchester,CA,10845
Nguyen-Ferrell,Nguyen-Ferrell,Manufacturing,"Manufacturing, Telecommunications, Hospitality","SD, AZ, SC",1980,49,"$10,122",Joshua Dickerson,Homeopath,jdickerson@lee.net,(208) 982-6078,39962 Javier Green Suite 950,South Emily,ID,44655
Collins LLC,Collins LLC,Manufacturing,Manufacturing,IL,1996,127,"$1,918,864",Joshua Snyder,Prison officer,jsnyder@leonard-mcclure.org,(640) 971-1581,78171 Kristin Mission,East Richardton,UT,98952
"Chavez, Willis and Taylor","Chavez, Willis and Taylor",Manufacturing,"Manufacturing, Retail","PA, WI, OR, AK, NM",1984,19,"$9,919,246",Kara Burke,Metallurgist,kburke@weaver.com,(588) 256-3256,71275 Brenda Street Suite 128,West Lisastad,OH,74311
Norris Inc,Inc Graham-Harvey,Manufacturing,"Manufacturing, Education","OH, ND, TN",2009,118,"$9,894,965",Tracy Day,Geochemist,tday@gonzales-wood.com,(989) 311-1752,15845 Cynthia Falls Suite 636,Masonton,CT,60008
Watson-Solis,Watson-Solis,Manufacturing,"Manufacturing, Healthcare","NV, RI",1986,5,"$437,234",William Jones,Financial planner,wjones@collins.com,(842) 885-7463,4434 Thompson Expressway,Lake Ronaldfort,WV,95593
"Taylor, Williams and Chen",Ltd King Group,Manufacturing,"Manufacturing, Healthcare, Transportation","RI, KY",1995,101,"$265,788",Mary Campbell,Photographer,mcampbell@smith-tapia.net,(766) 307-9282,6296 Wendy Roads Suite 726,Jennastad,NM,70134
Newman-Hernandez,Ltd Phillips and Sons,Manufacturing,Manufacturing,"CA, AZ, NV",1992,2,"$7,469,544",Madeline Baker,Energy engineer,mbaker@hall.org,(374) 426-2835,5615 Herrera Burg Apt. 327,Brittanyside,UT,19853
Smith-Spencer,Smith-Spencer,Manufacturing,Manufacturing,"NM, AL, OH, ID, VA",2019,10,"$1,473,078",Valerie Gregory,Secondary school teacher,vgregory@reyes.info,(407) 375-1154,626 Cristina Parkways Suite 849,Powellland,NJ,54186
"Ryan, Boyd and Clark","Ryan, Boyd and Clark",Manufacturing,Manufacturing,KY,2017,36,"$1,091,976",Stephanie Nguyen,Transport planner,snguyen@wilson-harris.net,(800) 459-2962,5931 Jeanette Avenue Apt. 665,West Patricia,OH,90857
Dominguez PLC,Dominguez PLC,Manufacturing,Manufacturing,"VT, SD, NE, WI, MD",1999,479,"$9,961,342",Troy Bernard,Government social research officer,tbernard@garrison-holmes.com,(850) 209-2340,271 Taylor Terrace Apt. 929,Larsentown,TN,97059
Mcdonald-Ramos,Mcdonald-Ramos,Manufacturing,Manufacturing,"MN, KS, MS",2003,49,"$834,135",Tracy Malone,"Social research officer, government",tmalone@david-lee.com,(315) 389-6828,93251 Michelle Landing,Myershaven,WY,40105
Wang-Franco,"LLC Morrow, Le and Mitchell",Manufacturing,"Manufacturing, Construction","NC, TX, OH, LA",1988,150,"$406,136",Mark Rodriguez,"Nurse, learning disability",mrodriguez@myers-price.info,(512) 744-5741,188 Cheryl Circle Suite 187,New Shawnborough,PA,16103
"Khan, Morris and Beck","Khan, Morris and Beck",Manufacturing,"Manufacturing, Telecommunications, Agriculture","WI, WA, MI",2013,42,"$172,100",Renee Norman,"Engineer, mining",rnorman@garcia.com,(583) 659-8036,830 Hernandez Meadows,Waltonland,TN,91058
"Johnson, Brown and Kelly",Ltd Dixon and Sons,Manufacturing,"Manufacturing, Finance","NJ, HI, WA",1980,6,"$1,401,897",Garrett Watkins,Patent attorney,gwatkins@johnson-potts.org,(226) 829-2820,1978 Sanchez Summit Suite 151,Robertberg,WI,48845
"Mullins, Conley and Sharp","Mullins, Conley and Sharp",Manufacturing,"Manufacturing, Education, Retail","NE, FL, CT, MD, VA",1993,9056,"$303,150",Austin Allen,Magazine journalist,aallen@taylor.net,(208) 847-7775,77650 Bryan Alley Suite 130,East Robert,GA,63420
Valdez-Davis,Ltd Cox-Johnson,Manufacturing,Manufacturing,"SD, CA, VT, MS, AR",2014,167,"$44,825",Alice Moore,Ranger/warden,amoore@hays.com,(793) 958-7109,065 David Stream Suite 252,Mitchellton,TN,62395
Chapman LLC,Chapman LLC,Manufacturing,Manufacturing,"SD, MN, AR, ND, MI",1999,418,"$271,198",Colleen King,Mining engineer,cking@caldwell.com,(282) 810-4193,34252 Carpenter Views,Emilyton,LA,69349
"Stone, Perez and Howard","Stone, Perez and Howard",Manufacturing,Manufacturing,"WV, MA, NY, MS, AZ",2010,10,"$7,621,096",Trevor Mcbride,Technical author,tmcbride@bond-harrington.com,(587) 466-9080,41200 Waters Fall Apt. 506,Joshualand,NM,47470
Harrington-Hernandez,Ltd Douglas PLC,Manufacturing,"Manufacturing, Entertainment",KS,2012,7,"$7,466,507",Brenda Hodge,Police officer,bhodge@young.com,(399) 664-4167,40720 Butler Parks Apt. 106,Williamsland,SD,15590
Payne-Medina,Payne-Medina,Manufacturing,Manufacturing,IN,2018,2563,"$40,259",Jamie Kelly,Management consultant,jkelly@mann.net,(532) 389-6455,7160 Joseph Forks,Johnstad,AZ,99683
Scott LLC,and Sons Thompson-Edwards,Manufacturing,Manufacturing,FL,2005,3,"$964,063",Jenna Harris,Building surveyor,jharris@kim.com,(727) 955-2632,91848 Mason Drives Suite 773,West Jorge,ME,10262
Dunn-Harmon,Dunn-Harmon,Manufacturing,"Manufacturing, Retail, Finance","ND, TX",2006,183,"$250,139,847",Ronald Smith,Commercial art gallery manager,rsmith@blake.com,(493) 479-7026,48806 David Viaduct,South Jonathanchester,NY,09909
Brown Group,Brown Group,Manufacturing,"Manufacturing, Agriculture",SD,1993,41,"$1,685,324",Rhonda Douglas,"Psychologist, sport and exercise",rdouglas@sanders.info,(761) 849-9289,20164 Nelson Lake Suite 988,Denisefurt,DE,01396
Patterson LLC,Ltd Fletcher-Daugherty,Manufacturing,"Manufacturing, Construction","SD, NH, GA",2010,744,"$480,463",Jason Ramos,Marine scientist,jramos@anderson-king.org,(832) 954-4290,842 Candace Prairie,New Dennis,AK,57617
"Oconnor, Johnson and Alvarez","Oconnor, Johnson and Alvarez",Manufacturing,Manufacturing,"AZ, AK, WY, IA",1994,129,"$483,813",Deborah Pineda,TEFL teacher,dpineda@miller.com,(961) 957-6700,63967 Russell Mountain Suite 145,North Lisa,SC,72915
Carter-Martin,LLC Anthony Group,Manufacturing,"Manufacturing, Telecommunications","NJ, VT, ND, RI, KS",2017,133,"$91,506",Matthew Romero,"Teacher, primary school",mromero@castillo.com,(510) 209-1811,79688 Avila Roads,Wangshire,NY,20568
Castillo LLC,Ltd Sanders and Sons,Manufacturing,"Manufacturing, Energy",AK,1999,7,"$84,874",Kimberly Cruz,Seismic interpreter,kcruz@hodges-green.com,(862) 810-8913,54615 Cynthia Forge,Haleytown,CA,13437
Brown PLC,Brown PLC,Manufacturing,Manufacturing,"PA, NV, CO, ME, AZ",1992,168,"$947,821",Dr. Scott Nguyen,Chartered legal executive (England and Wales),dnguyen@walker-wood.biz,(548) 845-5316,8214 Douglas Passage,Coreyland,MS,66202
Evans PLC,Evans PLC,Manufacturing,"Manufacturing, Retail",MA,2019,104,"$66,311",James Harvey,"Geologist, engineering",jharvey@camacho.com,(551) 949-8163,2552 Jensen Fall,West Richardview,TX,63986
Baker PLC,and Sons Snyder Inc,Manufacturing,"Manufacturing, Agriculture, Construction",SC,2004,3796,"$333,259",Hannah Dudley,"Psychologist, prison and probation services",hdudley@powell.net,(725) 533-7436,2931 Roth Union,East Laurenhaven,RI,27128
Reese-Travis,Group Mcknight LLC,Manufacturing,Manufacturing,"NC, AL",1980,185,"$1,047,646",John Fitzgerald,"Administrator, arts",jfitzgerald@estrada-parks.com,(790) 866-3215,96261 Emily Valleys,New Roberthaven,KS,55185
Griffith-Maynard,"and Sons Young, Brown and Beasley",Manufacturing,"Manufacturing, Hospitality","OR, KY, ND, NJ",1998,7,"$7,593,808",Veronica Payne,"Buyer, industrial",vpayne@weiss-thomas.info,(497) 371-2480,207 Theresa Ford Suite 949,Aprilhaven,NY,06357
"Jackson, Mills and Vargas","Jackson, Mills and Vargas",Manufacturing,"Manufacturing, Entertainment, Finance","SD, KY, NM, AL",1986,888,"$12,899",Robert Rice,Retail banker,rrice@mckee.com,(457) 201-4954,8953 Donovan Unions,North Julie,VT,49253
Miller-Mann,PLC Stanley LLC,Manufacturing,Manufacturing,"AL, MN, RI, HI",2010,61,"$3,854,748",Christopher Weaver,Advertising account planner,cweaver@mcdonald-hughes.info,(626) 889-2457,2552 Williams Trace,Danielshire,IN,82082
Richardson-Bright,Richardson-Bright,Manufacturing,Manufacturing,"MT, NC, MD",2020,1974,"$681,019",John Bush,"Designer, interior/spatial",jbush@long.biz,(248) 695-2985,533 Gillespie Shoals,South Wendyton,AK,52359
Johnson-George,Johnson-George,Manufacturing,"Manufacturing, Hospitality, Finance","MT, MI, WA",2013,615,"$450,968",Paul Burton,Archaeologist,pburton@bray.biz,(578) 771-1586,13731 Grant Isle,Michaelmouth,IN,01016
Williams Group,PLC Lynn-Morris,Manufacturing,"Manufacturing, Retail, Telecommunications",ME,1985,101,"$1,656,841",Sara Humphrey,Occupational psychologist,shumphrey@lambert.biz,(818) 636-9839,52221 Lance Overpass Apt. 140,South Kevin,AL,84299
"Knox, Moss and Lewis",and Sons Johnson LLC,Manufacturing,Manufacturing,NH,2005,5,"$291,089",David Miller,Multimedia programmer,dmiller@cruz.com,(404) 866-7456,660 Stanley Isle Suite 673,Hollychester,TX,86575
"Mccarty, Lowe and French","Mccarty, Lowe and French",Manufacturing,"Manufacturing, Transportation","WI, IA, IN, MN, DE",1999,4,"$499,746",Robin Garcia,"Teacher, special educational needs",rgarcia@woods.com,(787) 612-2500,909 Gregory Island Suite 764,Emilyside,CT,70532
Williamson-Smith,"and Sons Acosta, Callahan and Miller",Manufacturing,"Manufacturing, Real Estate","NE, MI, WA, AL",2005,359,"$1,319,076",Christopher King,Writer,cking@johnson.org,(292) 236-2662,7831 James Crescent,South Steven,VA,01741
"Williams, Townsend and Wright","LLC Smith, Grant and Chavez",Manufacturing,Manufacturing,"TX, ID, NY, WA",2002,6,"$47,396",Cheryl Smith,Office manager,csmith@lynch.com,(814) 671-6855,9719 Mendoza Hills Suite 370,Forbesfort,NH,43849
"Fischer, Rose and Perkins","Fischer, Rose and Perkins",Manufacturing,Manufacturing,"ID, DE, LA, VA",2010,28,"$427,039",Jason Martinez,Automotive engineer,jmartinez@castillo.com,(780) 440-6278,2264 Angela Glen Apt. 002,Beckyshire,OR,66104
Salinas PLC,Salinas PLC,Manufacturing,Manufacturing,"ID, AK",1983,637,"$845,733",Travis Hogan,"Teacher, secondary school",thogan@weaver.net,(482) 988-7611,0114 Christian Turnpike,New Shannon,RI,72253
Smith-Archer,Smith-Archer,Manufacturing,"Manufacturing, Construction, Energy","MS, SC, WY, FL",1987,44,"$128,298",Joshua Burton,Town planner,jburton@reid-decker.org,(982) 238-5247,9743 Foster Gateway,Lopezbury,MI,03038
King and Sons,LLC Valdez-Miles,Manufacturing,"Manufacturing, Healthcare, Energy","MI, NC",2021,41,"$1,780,851",Adrian Pacheco,TEFL teacher,apacheco@jones-ortega.org,(388) 604-4128,52333 Floyd Ranch,Port Jameston,TN,28602
"Cervantes, Barker and Young","Cervantes, Barker and Young",Manufacturing,"Manufacturing, Transportation, Retail","WI, VA",2008,2838,"$36,889",Alexis Wade,"Designer, television/film set",awade@francis.biz,(388) 356-8723,62880 Brian Course Apt. 387,Jonesberg,NV,17664
"Jones, Brown and Miller","Jones, Brown and Miller",Manufacturing,"Manufacturing, Agriculture","WI, KY, HI, OH, LA",1999,49,"$190,642",Stephanie Henderson,Computer games developer,shenderson@garcia-solis.com,(501) 424-4199,22778 James Brook,South Jacquelinestad,OK,59130
"Ware, Harvey and Perez",Group Mathews and Sons,Manufacturing,"Manufacturing, Telecommunications, Healthcare","NY, NM, CT",1985,10,"$618,336,505",David Jones,Software engineer,djones@hill.com,(608) 706-8491,1919 Weaver Manor,South Douglas,ND,09457
Gonzales LLC,"PLC English, Young and Johnson",Manufacturing,Manufacturing,MD,2010,572,"$66,023",Jorge Taylor,"Research officer, political party",jtaylor@johnson-jones.com,(501) 349-9604,28374 Fisher Rest Suite 693,Lake Jennifer,MO,67125
Shepherd-Small,Shepherd-Small,Manufacturing,"Manufacturing, Construction","VA, TX",1985,15,"$3,114,552",Keith King,Public librarian,kking@brown.org,(738) 355-6950,831 Gonzales Ranch Apt. 938,New Joshua,OR,36988
Calderon-Clark,PLC Harrington-Smith,Manufacturing,"Manufacturing, Agriculture, Technology",HI,2020,5,"$1,479,491",Samantha Wheeler,Chief Marketing Officer,swheeler@norris.net,(668) 966-3491,13708 Terri Mountain,Lake Johnton,VT,74886
Lewis-Dyer,Lewis-Dyer,Manufacturing,Manufacturing,"NV, TX, OH, NE",2017,646,"$115,317",Stephen Williams,Furniture designer,swilliams@anderson.com,(330) 660-3059,02081 Edwards Ford Apt. 261,Lake Toni,ND,70541
"Martinez, Miller and Li",Group Lee-Johnson,Manufacturing,"Manufacturing, Education",ME,2017,13,"$205,626",Thomas Malone,Operations geologist,tmalone@chandler.info,(691) 612-7867,67240 Jonathan Stream,West Gina,TN,25278
"Ellis, Morton and Klein","Ellis, Morton and Klein",Manufacturing,"Manufacturing, Education, Real Estate","NJ, WV, VA, IN, WY",1990,7,"$1,692,157",Kenneth Hall,Water engineer,khall@gould-rodriguez.com,(612) 271-3009,6006 Michael Estate,South Andrew,AZ,18306
"Woods, Diaz and Smith","Woods, Diaz and Smith",Manufacturing,"Manufacturing, Healthcare, Finance","OH, IA",1992,9,"$101,352",Christina Hamilton,Audiological scientist,chamilton@shea.com,(973) 575-5347,74053 Deanna Corner,Port Zachary,CT,96556
"Hernandez, Henderson and Oliver","Hernandez, Henderson and Oliver",Manufacturing,Manufacturing,"WA, OK, FL, VT, IA",1982,339,"$292,839",Brittany Crawford,"Psychologist, occupational",bcrawford@gordon.com,(712) 209-9462,276 Julia Ports,Milestown,ID,40096
"Rodriguez, Sanchez and Williams","Inc Abbott, Ramirez and Miranda",Manufacturing,"Manufacturing, Energy, Entertainment","HI, CT, WY, ND, MS",1985,7,"$421,261",John Douglas,Nutritional therapist,jdouglas@pruitt-stephenson.info,(791) 741-4914,421 Katie Ranch Suite 799,North Jesseport,CT,87356
Rodriguez and Sons,Rodriguez and Sons,Manufacturing,"Manufacturing, Retail, Entertainment","AZ, IL, AL, FL",2014,113,"$8,056,332",Joseph Hays,Politician's assistant,jhays@gray.org,(870) 273-6768,137 Lin Village,Hunterfort,MD,69824
"Olson, Taylor and May",Ltd Moss Group,Manufacturing,"Manufacturing, Healthcare","KS, SD",1987,629,"$387,258",John Campbell,Consulting civil engineer,jcampbell@goodman.com,(209) 200-1191,449 Stefanie Common,Bellburgh,TX,20610
Schmidt-Perez,Schmidt-Perez,Manufacturing,Manufacturing,"OK, AL, PA, VA, OR",1989,140,"$65,834",Denise Hernandez,"Teacher, adult education",dhernandez@dickerson.org,(237) 706-8723,8012 Linda Road,Port Karenburgh,NY,85867
Patel LLC,Patel LLC,Manufacturing,Manufacturing,AR,2022,741,"$116,684",Mark Kelley,Learning mentor,mkelley@lucas.net,(831) 963-6976,96184 Lowery Ford Suite 004,South Melissamouth,NJ,89827
Contreras-Wright,Contreras-Wright,Manufacturing,"Manufacturing, Pharmaceuticals","CA, CT, KY, ID",2017,5,"$52,250",Andrew Cunningham,Investment analyst,acunningham@watts.com,(969) 401-1843,112 Williams Court Apt. 278,Waltermouth,OK,51857
Thompson PLC,"Ltd Roberts, West and Fox",Manufacturing,Manufacturing,"AL, NM, OK, FL",1980,2,"$1,896,250",Janice Tyler DVM,"Teacher, special educational needs",jdvm@thomas.com,(719) 204-6179,040 Alexandra Drive,West Erin,IA,61400
Andrade-Montoya,Andrade-Montoya,Manufacturing,"Manufacturing, Finance, Entertainment","UT, IN",1986,10,"$15,454",Hannah Campbell,Armed forces operational officer,hcampbell@ryan-williams.com,(478) 871-6565,700 Steven Camp,West Susan,MA,13898
King PLC,King PLC,Manufacturing,Manufacturing,"FL, OH, ND",1988,50,"$489,981",Mike Valdez,Ranger/warden,mvaldez@hunter.net,(227) 553-3621,599 Kristi Squares Suite 094,Whitneytown,SD,55440
"Clements, Wade and Pena","Clements, Wade and Pena",Manufacturing,"Manufacturing, Agriculture","RI, ID",2016,186,"$26,513",Ricardo Anderson,"Designer, exhibition/display",randerson@weaver-kennedy.com,(560) 692-3201,600 Rangel Spring Suite 181,Morenobury,SC,53372
"King, Jones and Brown","King, Jones and Brown",Manufacturing,"Manufacturing, Construction, Entertainment","AL, WV, DE, NM, NC",2017,8,"$187,151",Victor Harrison,Visual merchandiser,vharrison@short-weaver.info,(252) 685-4000,7150 Lamb Avenue Suite 846,East Christyport,MA,71690
Oneal-Wells,Oneal-Wells,Manufacturing,"Manufacturing, Energy","NV, ND, WV, IN",2006,713,"$364,251",Susan Wong,Economist,swong@conrad.com,(326) 662-7223,42610 Gordon Streets,Jenkinsburgh,CA,07837
"Taylor, Diaz and Griffin",Ltd Simon PLC,Manufacturing,"Manufacturing, Construction","NH, IA",1998,4,"$443,160",George Clay,Pensions consultant,gclay@brown.biz,(476) 716-8848,05080 Ian Rapids,Lake Barbarabury,VT,06220
"Hooper, Campbell and Mathews","LLC Owen, Berry and Lawrence",Manufacturing,"Manufacturing, Agriculture, Finance","FL, IA",2003,13,"$1,656,772",Christina Henderson,Management consultant,chenderson@kirk.com,(638) 395-1559,359 Mason Crescent Apt. 773,South Scottside,PA,76416
Brooks-Burke,Brooks-Burke,Manufacturing,"Manufacturing, Construction, Healthcare","MD, VA, SC, OR",2019,79,"$76,757",Sherry Moore,"Psychologist, prison and probation services",smoore@watts-hunter.biz,(601) 642-5415,30848 Mark Valley,New Lauren,MN,92101
"Williams, Howell and Brown","Williams, Howell and Brown",Manufacturing,Manufacturing,"MT, IA, NY",2016,5,"$625,687",Troy Ellis,Mudlogger,tellis@lewis.com,(451) 955-2511,0991 Janet Ferry,South Caleb,FL,45658
